sep=;

"ProReason_Id";"tag_type";"Path_type";"tag_reason";"Path_reason";"Project_id";"tag_image";"Path_ChannelTag";"Channel_Name";"Path_SysVideo"
"159";"Retail";"C:\Gaurav_older\Test_IV\175\User_SnapShot\Retail";"Foot Print";"C:\Gaurav_older\Test_IV\175\User_SnapShot\Foot Print";"175";"00024.jpg,00025.jpg,00026.jpg,00027.jpg,00028.jpg";"C:\Gaurav_older\Test_IV\175\User_SnapShot\Foot Print\Channel_4";"Channel_4";"C:\Gaurav_older\Test_IV\175"
"160";"Retail";"C:\Gaurav_older\Test_IV\175\User_SnapShot\Retail";"Not Wearing Id";"C:\Gaurav_older\Test_IV\175\User_SnapShot\Not Wearing Id";"175";"00026.jpg,00027.jpg,00028.jpg,00029.jpg,00030.jpg";"C:\Gaurav_older\Test_IV\175\User_SnapShot\Not Wearing Id\Channel_2";"Channel_2";"C:\Gaurav_older\Test_IV\175"
"161";"Retail";"C:\Gaurav_older\Test_IV\175\User_SnapShot\Retail";"Not Wearing Id";"C:\Gaurav_older\Test_IV\175\User_SnapShot\Not Wearing Id";"175";"00026.jpg,00027.jpg,00028.jpg,00029.jpg,00030.jpg";"C:\Gaurav_older\Test_IV\175\User_SnapShot\Not Wearing Id\Channel_4";"Channel_4";"C:\Gaurav_older\Test_IV\175"
"162";"Retail";"C:\Gaurav_older\Test_IV\175\User_SnapShot\Retail";"Cleanning Issues";"C:\Gaurav_older\Test_IV\175\User_SnapShot\Cleanning Issues";"175";"00012.jpg,00013.jpg,00014.jpg,00015.jpg,00016.jpg";"C:\Gaurav_older\Test_IV\175\User_SnapShot\Cleanning Issues\Channel_2";"Channel_2";"C:\Gaurav_older\Test_IV\175"
"163";"Retail";"C:\Gaurav_older\Test_IV\175\User_SnapShot\Retail";"Cleanning Issues";"C:\Gaurav_older\Test_IV\175\User_SnapShot\Cleanning Issues";"175";"00012.jpg,00013.jpg,00014.jpg,00015.jpg,00016.jpg";"C:\Gaurav_older\Test_IV\175\User_SnapShot\Cleanning Issues\Channel_3";"Channel_3";"C:\Gaurav_older\Test_IV\175"
"164";"Retail";"C:\Gaurav_older\Test_IV\175\User_SnapShot\Retail";"Computer Not Start";"C:\Gaurav_older\Test_IV\175\User_SnapShot\Computer Not Start";"175";"00016.jpg,00017.jpg,00018.jpg,00019.jpg,00020.jpg";"C:\Gaurav_older\Test_IV\175\User_SnapShot\Computer Not Start\Channel_3";"Channel_3";"C:\Gaurav_older\Test_IV\175"
"165";"Retail";"C:\Gaurav_older\Test_IV\175\User_SnapShot\Retail";"Computer Not Start";"C:\Gaurav_older\Test_IV\175\User_SnapShot\Computer Not Start";"175";"00016.jpg,00017.jpg,00018.jpg,00019.jpg,00020.jpg";"C:\Gaurav_older\Test_IV\175\User_SnapShot\Computer Not Start\Channel_4";"Channel_4";"C:\Gaurav_older\Test_IV\175"
"166";"Retail";"C:\Gaurav_older\Test_IV\175\User_SnapShot\Retail";"Foot Print";"C:\Gaurav_older\Test_IV\175\User_SnapShot\Foot Print";"175";"00030.jpg,00031.jpg,00032.jpg,00033.jpg,00034.jpg";"C:\Gaurav_older\Test_IV\175\User_SnapShot\Foot Print\Channel_2";"Channel_2";"C:\Gaurav_older\Test_IV\175"
"167";"Retail";"C:\Gaurav_older\Test_IV\175\User_SnapShot\Retail";"Foot Print";"C:\Gaurav_older\Test_IV\175\User_SnapShot\Foot Print";"175";"00030.jpg,00031.jpg,00032.jpg,00033.jpg,00034.jpg";"C:\Gaurav_older\Test_IV\175\User_SnapShot\Foot Print\Channel_3";"Channel_3";"C:\Gaurav_older\Test_IV\175"
"168";"IT";"C:\_Gaurav\C#\ImageScroller\Test\176\User_SnapShot\IT";"A";"C:\_Gaurav\C#\ImageScroller\Test\176\User_SnapShot\A";"176";"00003.jpg,00004.jpg,00005.jpg,00006.jpg,00007.jpg";"C:\_Gaurav\C#\ImageScroller\Test\176\User_SnapShot\A\Channel_1";"Channel_1";"C:\_Gaurav\C#\ImageScroller\Test\176"
"169";"IT";"C:\_Gaurav\C#\ImageScroller\Test\176\User_SnapShot\IT";"A";"C:\_Gaurav\C#\ImageScroller\Test\176\User_SnapShot\A";"176";"00003.jpg,00004.jpg,00005.jpg,00006.jpg,00007.jpg";"C:\_Gaurav\C#\ImageScroller\Test\176\User_SnapShot\A\Channel_2";"Channel_2";"C:\_Gaurav\C#\ImageScroller\Test\176"
"170";"IT";"C:\Users\konsultera\Downloads\test_2018-07-19_1208\177\User_SnapShot\IT";"Cleanning Issues";"C:\Users\konsultera\Downloads\test_2018-07-19_1208\177\User_SnapShot\Cleanning Issues";"177";"00002.jpg,00003.jpg,00004.jpg,00005.jpg,00006.jpg";"C:\Users\konsultera\Downloads\test_2018-07-19_1208\177\User_SnapShot\Cleanning Issues\Channel_1";"Channel_1";"C:\Users\konsultera\Downloads\test_2018-07-19_1208\177"
"171";"IT";"C:\Users\konsultera\Downloads\test_2018-07-19_1208\177\User_SnapShot\IT";"Cleanning Issues";"C:\Users\konsultera\Downloads\test_2018-07-19_1208\177\User_SnapShot\Cleanning Issues";"177";"00002.jpg,00003.jpg,00004.jpg,00005.jpg,00006.jpg";"C:\Users\konsultera\Downloads\test_2018-07-19_1208\177\User_SnapShot\Cleanning Issues\Channel_3";"Channel_3";"C:\Users\konsultera\Downloads\test_2018-07-19_1208\177"
"172";"IT";"C:\Users\konsultera\Downloads\test_2018-07-19_1208\177\User_SnapShot\IT";"D";"C:\Users\konsultera\Downloads\test_2018-07-19_1208\177\User_SnapShot\D";"177";"00020.jpg,00021.jpg,00022.jpg,00023.jpg,00024.jpg";"C:\Users\konsultera\Downloads\test_2018-07-19_1208\177\User_SnapShot\D\Channel_1";"Channel_1";"C:\Users\konsultera\Downloads\test_2018-07-19_1208\177"
"173";"IT";"C:\Users\konsultera\Downloads\test_2018-07-19_1208\177\User_SnapShot\IT";"D";"C:\Users\konsultera\Downloads\test_2018-07-19_1208\177\User_SnapShot\D";"177";"00020.jpg,00021.jpg,00022.jpg,00023.jpg,00024.jpg";"C:\Users\konsultera\Downloads\test_2018-07-19_1208\177\User_SnapShot\D\Channel_3";"Channel_3";"C:\Users\konsultera\Downloads\test_2018-07-19_1208\177"
